X , H2, CH4, CO, CO2 
4.920000001,4520.53787874,8251.16962053,10094.7175182,12074.9700187
4.932000001,4505.75622969,8216.43002143,10050.5837291,12020.8388388
4.944000001,4490.69451516,8180.89573747,10005.3994926,11965.3833593
4.956000001,4475.35273562,8144.5667903,9959.16484012,11908.6036558
4.968000001,4459.73089152,8107.44320203,9911.87980386,11850.4998054
4.980000001,4443.82898333,8069.52499528,9863.5444167,11791.0718873
4.992000001,4427.64701154,8030.81219312,9814.15871229,11730.3199823
5.004000001,4411.18497664,7991.30481914,9763.72272498,11668.244173
5.016000001,4394.44287912,7951.00289738,9712.23648987,11604.8445439
5.028000001,4377.42071949,7909.90645239,9659.70004277,11540.1211813
5.040000001,4360.11849826,7868.01550919,9606.11342025,11474.0741732
5.052000001,4342.53621595,7825.33009329,9551.47665959,11406.7036095
5.064000001,4324.67387311,7781.85023069,9495.7897988,11338.0095818
5.076000001,4306.53147025,7737.57594785,9439.05287663,11267.9921836
5.088000001,4288.10900795,7692.50727173,9381.26593255,11196.6515102
5.100000001,4269.40648674,7646.64422978,9322.42900678,11123.9876586
5.112000001,4250.42390719,7599.98684992,9262.54214026,11050.0007277
5.124000001,4231.16126989,7552.53516057,9201.60537464,10974.6908182
5.136000001,4211.6185754,7504.28919061,9139.61875234,10898.0580325
5.148000001,4191.79582433,7455.24896943,9076.58231647,10820.1024749
5.160000001,4171.69301726,7405.41452688,9012.4961109,10740.8242514
5.172000001,4151.31015482,7354.78589331,8947.36018023,10660.22347
5.184000001,4130.6472376,7303.36309955,8881.17456976,10578.3002402
5.196000001,4109.70426624,7251.14617691,8813.93932555,10495.0546735
5.208000001,4088.48124137,7198.13515718,8745.65449439,10410.4868833
5.220000001,4066.97816363,7144.33007264,8676.32012378,10324.5969845
5.232000001,4045.19503367,7089.73095606,8605.93626197,10237.385094
5.244000001,4023.13185214,7034.33784068,8534.50295793,10148.8513304
5.256000001,4000.78861972,6978.15076023,8462.02026136,10058.9958143
5.268000001,3978.16533708,6921.16974893,8388.48822269,9967.81866793
5.280000001,3955.2620049,6863.39484146,8313.90689309,9875.32001523
5.292000001,3932.07862387,6804.82607301,8238.27632444,9781.49998212
5.304000001,3908.6151947,6745.46347923,8161.59656938,9686.35869623
5.316000001,3884.87171809,6685.30709629,8083.86768126,9589.89628701
5.328000001,3860.84819476,6624.3569608,8005.08971415,9492.1128857
5.340000001,3836.54462544,6562.61310988,7925.26272287,9393.00862535
5.352000001,3811.96101085,6500.07558113,7844.38676296,9292.5836408
5.364000001,3787.09735175,6436.74441262,7762.4618907,9190.83806866
5.376000001,3761.95364888,6372.61964292,7679.48816309,9087.77204738
5.388000001,3736.529903,6307.70131107,7595.46563785,8983.38571719
5.400000001,3710.82611489,6241.98945661,7510.39437346,8877.6792201
5.412000001,3684.84228531,6175.48411954,7424.2744291,8770.65269994
5.424000001,3658.57841505,6108.18534036,7337.10586469,8662.30630232
5.436000001,3632.03450491,6040.09316005,7248.88874089,8552.64017465
5.448000001,3605.21055569,5971.20762007,7159.62311908,8441.65446615
5.460000001,3578.10656819,5901.52876236,7069.30906136,8329.34932781
5.472000001,3550.72254324,5831.05662936,6977.94663057,8215.72491243
5.484000001,3523.05848166,5759.79126397,6885.53589029,8100.7813746
5.496000001,3495.11438429,5687.73270958,6792.0769048,7984.51887071
5.508000001,3466.89025197,5614.88101009,6697.56973915,7866.93755895
5.520000001,3438.38608556,5541.23620983,6602.01445908,7748.03759928
5.532000001,3409.60188591,5466.79835367,6505.41113109,7627.81915348
5.544000001,3380.5376539,5391.56748691,6407.75982238,7506.28238512
5.556000001,3351.1933904,5315.54365538,6309.0606009,7383.42745955
5.568000001,3321.5690963,5238.72690536,6209.31353533,7259.25454391
5.580000001,3291.6647725,5161.11728363,6108.51869507,7133.76380717
5.592000001,3261.48041989,5082.71483743,6006.67615024,7006.95542005
5.604000001,3231.0160394,5003.51961453,5903.78597172,6878.82955508
5.616000001,3200.27163193,4923.53166312,5799.84823109,6749.38638659
5.628000001,3169.24719842,4842.75103193,5694.86300067,6618.62609069
5.640000001,3137.94273981,4761.17777014,5588.8303535,6486.54884529
5.652000001,3106.35825703,4678.81192741,5481.75036336,6353.15483008
5.664000001,3074.49375105,4595.6535539,5373.62310477,6218.44422656
5.676000001,3042.34922284,4511.70270026,5264.44865294,6082.41721801
5.688000001,3009.92467334,4426.95941758,5154.22708385,5945.0739895
5.700000001,2977.22010356,4341.42375749,5042.95847418,5806.4147279
5.712000001,2944.23551447,4255.09577205,4930.64290135,5666.43962185
5.724000001,2910.97090707,4167.97551383,4817.28044352,5525.14886181
5.736000001,2877.42628237,4080.06303589,4702.87117955,5382.54264
5.748000001,2843.60164138,3991.35839175,4587.41518905,5238.62115046
5.760000001,2809.49698512,3901.86163543,4470.91255236,5093.38458899
5.772000001,2775.11231463,3811.57282141,4353.36335054,4946.83315319
5.784000001,2740.44763093,3720.49200469,4234.76766536,4798.96704247
5.796000001,2705.50293508,3628.61924071,4115.12557936,4649.78645799
5.808000001,2670.27822813,3535.95458542,3994.43717578,4499.29160273
5.820000001,2634.77351115,3442.49809524,3872.70253859,4347.48268145
5.832000001,2598.98878521,3348.24982708,3749.92175249,4194.35990068
5.844000001,2562.92405139,3253.20983833,3626.09490291,4039.92346877
5.856000001,2526.57931078,3157.37818686,3501.22207601,3884.17359583
5.868000001,2489.95456447,3060.75493101,3375.30335868,3727.11049376
5.880000001,2453.04981358,2963.34012964,3248.33883852,3568.73437627
5.892000001,2415.86505922,2865.13384204,3120.32860387,3409.04545883
5.904000001,2378.40030251,2766.13612802,2991.27274381,3248.0439587
5.916000001,2340.65554458,2666.34704786,2861.17134814,3085.73009495
5.928000001,2302.63078657,2565.76666232,2730.02450736,2922.1040884
5.940000001,2264.32602964,2464.39503265,2597.83231274,2757.16616168
5.952000001,2225.74127493,2362.23222057,2464.59485625,2590.9165392
5.964000001,2186.87652362,2259.27828828,2330.31223059,2423.35544714
5.976000001,2147.73177688,2155.53329849,2194.9845292,2254.48311349
5.988000001,2108.30703588,2050.99731435,2058.61184624,2084.29976801
6.000000001,2068.60230183,1945.67039952,1921.19427659,1912.80564223
